X2 house age;X3 distance to the nearest MRT station;X4 number of convenience stores;Y house price of unit area
32;8.487.882;10;37.09.00
19.05;3.065.947;9;42.02.00
13.03;5.619.845;5;47.03.00
13.03;5.619.845;5;54.08.00
5;3.905.684;5;43.01.00
07.01;2175.03.00;3;32.01.00
34.05.00;6.234.731;7;40.03.00
20.03;2.876.025;6;46.07.00
31.07.00;5.512.038;1;18.08
17.09;1783.18.00;3;22.01
34.08.00;4.052.134;1;41.04.00
06.03;9.045.606;9;58.01.00
13;4.922.313;5;39.03.00
20.04;2.469.645;4;23.08
13.02;1.164.838;4;34.03.00
35.07.00;5.792.083;2;50.05.00
0;2.929.978;6;70.01.00
17.07;3.508.515;1;37.04.00
16.09;3.681.363;8;42.03.00
01.05;2.338.284;7;47.07.00
04.05;2.275.877;3;29.03.00
10.05;2.791.726;7;51.06.00
14.07;1.360.139;1;24.06.00
10.01;2.791.726;7;47.09.00
39.06.00;4.806.977;4;38.08.00
29.03.00;1.487.868;2;27
03.01;3.838.624;5;56.02.00
10.04;276.449;5;33.06.00
19.02;557.478;4;47
07.01;4.512.438;5;57.01.00
25.09.00;4519.69;0;22.01
29.06.00;7.694.034;7;25
37.09.00;4.885.727;1;34.02.00
16.05;323.655;6;49.03.00
15.04;205.367;7;55.01.00
13.09;4.079.418;0;27.03.00
14.07;1.935.009;2;22.09
12;1.360.139;1;25.03.00
03.01;5.779.615;6;47.07.00
16.02;2.893.248;5;46.02.00
13.06;4.082.015;0;15.09
16.08;4.066.587;0;18.02
36.01.00;5.194.617;5;34.07.00
34.04.00;5.127.871;6;34.01.00
02.07;5.334.762;4;53.09.00
36.06.00;4.888.193;8;38.03.00
21.07;4.639.623;9;42
35.09.00;6.407.391;3;61.05.00
24.02.00;4.605.749;0;13.04
29.04.00;4.510.359;1;13.02
21.07;5.125.487;4;44.02.00
31.03.00;1.758.406;1;20.07
32.01.00;1.438.579;3;27
13.03;4.922.313;5;38.09.00
16.01;2.893.248;5;51.07.00
31.07.00;1.160.632;0;13.07
33.06.00;3.712.495;8;41.09.00
03.05;5.647.425;7;53.05.00
30.03.00;4.510.359;1;22.06
13.03;3.360.532;5;42.04.00
11;1.931.207;2;21.03
05.03;2.596.607;6;63.02.00
17.02;2.175.877;3;27.07.00
02.06;5.334.762;4;55
17.05;9.957.554;0;25.03.00
40.01.00;1.237.429;8;44.03.00
1;1.935.845;6;50.07.00
08.05;1.048.101;5;56.08.00
30.04.00;464.223;6;36.02.00
12.05;5.619.845;5;42
06.06;9.045.606;9;59
35.05.00;6.407.391;3;40.08.00
32.05.00;4.245.442;8;36.03.00
13.08;4.082.015;0;20
06.08;3.795.575;10;54.04.00
12.03;1.360.139;1;29.05.00
35.09.00;6.164.004;3;36.08.00
20.05;2.185.128;3;25.06.00
38.02.00;5.524.371;2;29.08.00
18;1.414.837;1;26.05.00
11.08;5.334.762;4;40.03.00
30.08.00;3.777.956;6;36.08.00
13.02;1.509.347;7;48.01.00
25.03.00;2.707.392;3;17.07
15.01;3.832.805;7;43.07.00
0;3.389.679;9;50.08.00
01.08;1.455.798;1;27
16.09;4.066.587;0;18.03
08.09;1406.43.00;0;48
23;3.947.945;0;25.03.00
0;2.740.144;1;45.04.00
09.01;1.402.016;0;43.02.00
20.06;2.469.645;4;21.08
31.09.00;1.146.329;0;16.01
40.09.00;1.675.989;5;41
8;1.048.101;5;51.08.00
06.04;9.045.606;9;59.05.00
28.04.00;6.174.424;3;34.06.00
16.04;2.893.248;5;51
06.04;9.045.606;9;62.02.00
17.05;9.647.496;4;38.02.00
12.07;1.701.289;1;32.09.00
01.01;1.935.845;6;54.04.00
0;2.083.905;6;45.07.00
32.07.00;3.924.459;6;30.05.00
0;2.929.978;6;71
17.02;1.895.181;8;47.01.00
12.02;1.360.139;1;26.06.00
31.04.00;5.925.006;2;34.01.00
4;2.147.376;3;28.04.00
08.01;1.048.101;5;51.06.00
33.03.00;1.966.172;7;39.04.00
09.09;2.102.427;3;23.01
14.08;3.932.606;6;07.06
30.06.00;1.438.383;8;53.03.00
20.06;7.379.161;2;46.04.00
30.09.00;6.396.283;1;12.02
13.06;4.197.349;0;13
25.03.00;1.583.722;3;30.06.00
16.06;2.893.248;5;59.06.00
13.03;4.922.313;5;31.03.00
13.06;4.922.313;5;48
31.05.00;4.149.476;4;32.05.00
0;1.854.296;0;45.05.00
09.09;2.791.726;7;57.04.00
01.01;1.935.845;6;48.06.00
38.06.00;8.046.897;4;62.09.00
03.08;3.838.624;5;55
41.03.00;1.249.912;6;60.07.00
38.05.00;2.168.329;7;41
29.06.00;535.527;8;37.05.00
4;2.147.376;3;30.07.00
26.06.00;4.827.581;5;37.05.00
18;3.733.937;8;39.05.00
33.04.00;1.869.686;6;42.02.00
18.09;1.009.235;0;20.08
11.04;3.905.684;5;46.08.00
13.06;3.190.708;6;47.04.00
10;9.424.664;0;43.05.00
12.09;4.922.313;5;42.05.00
16.02;2.893.248;5;51.04.00
05.01;1.559.827;3;28.09.00
19.08;6.406.071;5;37.05.00
13.06;4.922.313;5;40.01.00
11.09;1.360.139;1;28.04.00
02.01;4.512.438;5;45.05.00
0;1.854.296;0;52.02.00
03.02;4.898.821;8;43.02.00
16.04;3780.59.00;0;45.01.00
34.09.00;1.794.538;8;39.07.00
35.08.00;1.707.311;7;48.05.00
04.09;3.877.721;9;44.07.00
12;1.360.139;1;28.09.00
06.05;3.761.709;6;40.09.00
16.09;4.066.587;0;20.07
13.08;4.082.015;0;15.06
30.07.00;1264.73;0;18.03
16.01;8.159.314;4;35.06.00
11.06;3.905.684;5;39.04.00
15.05;8.159.314;4;37.04.00
03.05;4.966.105;8;57.08.00
19.02;6.164.004;3;39.06.00
16;4.066.587;0;11.06
08.05;1.048.101;5;55.05.00
0;1.854.296;0;55.02.00
13.07;1.236.564;1;30.06.00
0;2.929.978;6;73.06.00
28.02.00;3.300.854;8;43.04.00
27.06.00;5.151.122;5;37.04.00
08.04;1.962.628;1;23.05
24;4.527.687;0;14.04
03.06;3.838.624;5;58.08.00
06.06;9.045.606;9;58.01.00
41.03.00;4.018.807;4;35.01.00
04.03;4.320.385;7;45.02.00
30.02.00;4.721.745;3;36.05.00
13.09;4.573.779;0;19.02
33;1.810.766;9;42
13.01;1.144.436;4;36.07.00
14;4.388.513;1;42.06.00
26.09.00;4449.27.00;0;15.05
11.06;2.018.939;8;55.09.00
13.05;2.147.376;3;23.06
17;4.082.015;0;18.08
14.01;2.615.465;0;21.08
31.04.00;1.447.286;3;21.05
20.09;2.185.128;3;25.07.00
08.09;3.078.176;0;22
34.08.00;1.900.392;8;44.03.00
16.03;4.066.587;0;20.05
35.03.00;6.165.735;8;42.03.00
13.02;7.500.704;2;37.08.00
43.08.00;5.758.945;7;42.07.00
09.07;421.479;5;49.03.00
15.02;3.771.895;0;29.03.00
15.02;4.611.016;5;34.06.00
22.08;7.079.067;2;36.06.00
34.04.00;1.267.286;8;48.02.00
34;1.576.052;7;39.01.00
18.02;4.516.419;8;31.06.00
17.04;9.957.554;0;25.05.00
13.01;5.619.845;5;45.09.00
38.03.00;6.426.985;3;31.05.00
15.06;2.893.248;5;46.01.00
18;1.414.837;1;26.06.00
12.08;1.449.722;3;21.04
22.02;3.795.575;10;44
38.05.00;6.650.636;3;34.02.00
11.05;1.360.139;1;26.02.00
34.08.00;1.756.294;8;40.09.00
05.02;3.905.684;5;52.02.00
0;2.740.144;1;43.05.00
17.06;1.805.665;2;31.01.00
06.02;9.045.606;9;58
18.01;1783.18.00;3;20.09
19.02;3.837.129;8;48.01.00
37.08.00;5.909.292;1;39.07.00
28;3.726.242;6;40.08.00
13.06;4.922.313;5;43.08.00
29.03.00;5.297.771;8;40.02.00
37.02.00;1.865.101;9;78.03.00
9;1.402.016;0;38.05.00
30.06.00;4.311.114;10;48.05.00
09.01;1.402.016;0;42.03.00
34.05.00;3.249.419;6;46
01.01;1.935.845;6;49
16.05;4.082.015;0;12.08
32.04.00;2.650.609;8;40.02.00
11.09;3.171.329;0;46.06.00
31;1.156.412;0;19
4;2.147.376;3;33.04.00
16.02;4.074.736;0;14.07
27.01.00;4.412.765;1;17.04
39.07.00;3.333.679;9;32.04.00
8;2.216.612;4;23.09
12.09;250.631;7;39.03.00
03.06;3.738.389;10;61.09.00
13;7.328.528;0;39
12.08;7.328.528;0;40.06.00
18.01;8.377.233;0;29.07.00
11;1.712.632;2;28.08.00
13.07;250.631;7;41.04.00
2;2077.39.00;3;33.04.00
32.08.00;2.041.705;8;48.02.00
04.08;1.559.827;3;21.07
07.05;6.396.198;5;40.08.00
16.04;3.898.219;6;40.06.00
21.07;1.055.067;0;23.01
19;1.009.235;0;22.03
18;6.306.153;1;15
39.02.00;4.247.132;7;30
31.07.00;1.159.454;0;13.08
05.09;9.045.606;9;52.07.00
30.04.00;1.735.595;2;25.09.00
01.01;3.299.747;5;51.08.00
31.05.00;5.512.038;1;17.04
14.06;3.392.289;1;26.05.00
17.03;4.441.334;1;43.09.00
0;2.929.978;6;63.03.00
17.07;8.377.233;0;28.08.00
17;1.485.097;4;30.07.00
16.02;2.288.011;3;24.04.00
15.09;2.893.248;5;53
03.09;2.147.376;3;31.07.00
32.06.00;493.657;7;40.06.00
15.07;8.159.314;4;38.01.00
17.08;1783.18.00;3;23.07
34.07.00;4.827.581;5;41.01.00
17.02;3.905.684;5;40.01.00
17.06;8.377.233;0;23
10.08;2.525.822;1;117.05.00
17.07;4.516.419;8;26.05.00
13;4.922.313;5;40.05.00
13.02;1.701.289;1;29.03.00
27.05.00;3.940.173;7;41
01.05;2.338.284;7;49.07.00
19.01;4.611.016;5;34
21.02;2.185.128;3;27.07.00
0;2.083.905;6;44
02.06;1554.25.00;3;31.01.00
02.03;1.843.302;6;45.04.00
04.07;3.877.721;9;44.08.00
2;1.455.798;1;25.06.00
33.05.00;1.978.671;2;23.05
15;3.832.805;7;34.04.00
30.01.00;7.182.937;3;55.03.00
05.09;9.045.606;9;56.03.00
19.02;4.611.016;5;32.09.00
16.06;3.236.912;6;51
13.09;2.893.248;5;44.05.00
37.07.00;4.903.446;0;37
03.04;5.647.425;7;54.04.00
17.05;3.956.747;5;24.05.00
12.06;3.832.805;7;42.05.00
26.04.00;3.355.273;6;38.01.00
18.02;2179.59.00;3;21.08
12.05;1.144.436;4;34.01.00
34.09.00;5.670.349;4;28.05.00
16.07;4.082.015;0;16.07
33.02.00;1.217.262;10;46.01.00
02.05;1.562.442;4;36.09.00
38;4.617.848;0;35.07.00
16.05;2.288.011;3;23.02
38.03.00;4.397.105;0;38.04.00
20;1.626.083;3;29.04.00
16.02;2.893.248;5;55
14.04;1.699.803;1;50.02.00
10.03;3079.89;0;24.07.00
16.04;2.893.248;5;53
30.03.00;1264.73;0;19.01
16.04;1.643.499;2;24.07.00
21.03;5.377.971;4;42.02.00
35.04.00;3.185.292;9;78
08.03;1.048.101;5;42.08.00
03.07;5.779.615;6;41.06.00
15.06;1.756.411;2;27.03.00
13.03;250.631;7;42
15.06;7.527.669;2;37.05.00
07.01;3.795.575;10;49.08.00
34.06.00;2.726.783;5;26.09.00
13.05;4.197.349;0;18.06
16.09;9.647.496;4;37.07.00
12.09;1.874.823;1;33.01.00
28.06.00;1.971.338;6;42.05.00
12.04;1.712.632;2;31.03.00
36.06.00;4.888.193;8;38.01.00
04.01;5.647.425;7;62.01.00
03.05;7.573.377;3;36.07.00
15.09;1.497.713;3;23.06
13.06;4.197.349;0;19.02
32;1.156.777;0;12.08
25.06.00;4519.69;0;15.06
39.08.00;6.177.134;2;39.06.00
07.08;1.048.101;5;38.04.00
30;1.013.341;5;22.08
27.03.00;3.376.016;6;36.05.00
05.01;1.867.233;2;35.06.00
31.03.00;6.008.604;5;30.09.00
31.05.00;258.186;9;36.03.00
01.07;3.299.747;5;50.04.00
33.06.00;2.708.895;0;42.09.00
13;7.500.704;2;37
05.07;9.045.606;9;53.05.00
33.05.00;5.632.854;8;46.06.00
34.06.00;3085.17.00;0;41.02.00
0;1.854.296;0;37.09.00
13.02;1.712.632;2;30.08.00
17.04;6.488.021;1;11.02
04.06;2.596.607;6;53.07.00
07.08;1.048.101;5;47
13.02;4.922.313;5;42.03.00
4;2.180.245;3;28.06.00
18.04;2.674.961;3;25.07.00
04.01;2.147.376;3;31.03.00
12.02;1.360.139;1;30.01.00
03.08;3.838.624;5;60.07.00
10.03;2.114.473;1;45.03.00
0;3.389.679;9;44.09.00
01.01;1.935.845;6;45.01.00
05.06;2.408.993;0;24.07.00
32.09.00;8.730.222;10;47.01.00
41.04.00;281.205;8;63.03.00
17.01;967.04.00;4;40
32.03.00;1.099.455;10;48
35.03.00;6.141.394;7;33.01.00
17.03;2.261.432;4;29.05.00
14.02;1.801.544;1;24.08.00
15;1.828.319;2;20.09
18.02;3.508.515;1;43.01.00
20.02;2.185.128;3;22.08
15.09;2.893.248;5;42.01.00
04.01;3.128.963;5;51.07.00
33.09.00;1.576.052;7;41.05.00
0;2.740.144;1;52.02.00
05.04;3.905.684;5;49.05.00
21.07;1.157.988;0;23.08
14.07;1.717.193;2;30.05.00
03.09;4.966.105;8;56.08.00
37.03.00;5.878.877;8;37.04.00
0;2.929.978;6;69.07.00
14.01;2.893.248;5;53.03.00
8;1.325.469;9;47.03.00
16.03;3.529.564;0;29.03.00
29.01.00;5.061.144;4;40.03.00
16.01;4.066.587;0;12.09
18.03;8.288.643;10;46.06.00
0;1.854.296;0;55.03.00
16.02;2.103.555;3;25.06.00
10.04;2.251.938;4;27.03.00
40.09.00;1.223.619;8;67.07.00
32.08.00;3.778.302;9;38.06.00
06.02;1.939.749;1;31.03.00
42.07.00;443.802;6;35.03.00
16.09;967.04.00;4;40.03.00
32.06.00;4.136.271;1;24.07.00
21.02;5.125.487;4;42.05.00
37.01.00;9.186.357;1;31.09.00
13.01;1.164.838;4;32.02.00
14.07;1.717.193;2;23
12.07;1.701.289;1;37.03.00
26.08.00;4.827.581;5;35.05.00
07.06;2175.03.00;3;27.07.00
12.07;1.874.823;1;28.05.00
30.09.00;161.942;9;39.07.00
16.04;2.893.248;5;41.02.00
23;1.309.945;6;37.02.00
01.09;3.721.386;7;40.05.00
05.02;2.408.993;0;22.03
18.05;2.175.744;3;28.01.00
13.07;4.082.015;0;15.04
05.06;9.045.606;9;50
18.08;3.909.696;7;40.06.00
08.01;1.048.101;5;52.05.00
06.05;9.045.606;9;63.09.00